source,target,value
娛樂蘋果派,旁白鴿,0
吃喝玩樂看蘋果,旁白鴿,0
爽報,旁白鴿,0
蘋果日報 台灣,旁白鴿,0
飲食男女 台灣,旁白鴿,0
蘋果國際,旁白鴿,0
蘋果動未條,旁白鴿,0
蘋果陪審團,旁白鴿,0
蘋果跑跳碰,旁白鴿,0
科技蘋果派,旁白鴿,0
劉方慈 Crystal Liu,旁白鴿,0
李至正,旁白鴿,0
四月桐-April,旁白鴿,0
真心白木 成 柏慎,旁白鴿,0
壹電視嬌主播 陳姿利,旁白鴿,0
亨利市,旁白鴿,0
娛樂蘋果派,爽報,0
吃喝玩樂看蘋果,爽報,0
旁白鴿,爽報,0
蘋果日報 台灣,爽報,0
飲食男女 台灣,爽報,0
宅女小紅,爽報,0
蘋果地產月刊,爽報,0
蘋果國際,爽報,0
蘋果日報即時新聞,爽報,0
蘋果動未條,爽報,0
蘋果陪審團,爽報,0
蘋果跑跳碰,爽報,0
科技蘋果派,爽報,0
蘋果地產王,爽報,0
台灣音樂書寫團隊,爽報,0
美食天王-蘋果日報,爽報,0
新聞主播 & 記者 粉絲團 News Anchor & Reporter,爽報,0
Rosy clouds 專業代購,爽報,0
對白有深度點好嗎?,爽報,0
你為什麼要檢舉我,爽報,0
Nexdoor | 宇軒數位,爽報,0
日行一善,爽報,0
101Dr.健康e情報,爽報,0
娱乐最前线,爽報,0
希望工程,爽報,0
泡菜公主的粉絲塗鴉團,爽報,0
樹屋旅店 The Tree House Design Hotel,爽報,0
【3c冉女人】主播王又冉的媽咪時尚-小葵媽,爽報,0
壹電視 Next TV新聞部,爽報,0
MOD粉絲團,爽報,0
中央社就給你「國際新聞」,爽報,0
永康頭殼秀,爽報,0
你手為什麼要那麼賤呢?,爽報,0
王哥,爽報,0
不3不4 D-奇幻魅影全像世界大展,爽報,0
我愛中港（竹南、頭份、後龍、造橋、三灣、南庄、峨眉、北埔）新竹州竹南郡 淡水廳中港堡,爽報,0
娛樂蘋果派,吃喝玩樂看蘋果,0
爽報,吃喝玩樂看蘋果,0
蘋果日報 台灣,吃喝玩樂看蘋果,0
飲食男女 台灣,吃喝玩樂看蘋果,0
飲食男女,吃喝玩樂看蘋果,0
毛愛蘋果,吃喝玩樂看蘋果,0
蘋果國際,吃喝玩樂看蘋果,0
蘋果日報即時新聞,吃喝玩樂看蘋果,0
蘋果動未條,吃喝玩樂看蘋果,0
蘋果陪審團,吃喝玩樂看蘋果,0
科技蘋果派,吃喝玩樂看蘋果,0
蘋果地產王,吃喝玩樂看蘋果,0
張允曦小8,吃喝玩樂看蘋果,0
筱蕾（陳筱蕾）,吃喝玩樂看蘋果,0
內子宮崎葵,吃喝玩樂看蘋果,0
張喬菲,吃喝玩樂看蘋果,0
帕莎蒂娜國際餐飲事業,吃喝玩樂看蘋果,0
Kevin老師,吃喝玩樂看蘋果,0
饕客送 Taokesong 美食外送,吃喝玩樂看蘋果,0
EZTABLE 簡單桌 - 預訂美好用餐時光,吃喝玩樂看蘋果,0
Ruby 劉馨如,吃喝玩樂看蘋果,0
娱乐最前线,吃喝玩樂看蘋果,0
溫紳,吃喝玩樂看蘋果,0
林莉婷,吃喝玩樂看蘋果,0
台北好生活,吃喝玩樂看蘋果,0
Ruby 林芊秀,吃喝玩樂看蘋果,0
哈妮.小草莓.謝依珊,吃喝玩樂看蘋果,0
上海鄉村,吃喝玩樂看蘋果,0
相機美人,吃喝玩樂看蘋果,0
小豬寶の悠遊記,吃喝玩樂看蘋果,0
吃喝玩樂看蘋果,娛樂蘋果派,0
爽報,娛樂蘋果派,0
旁白鴿,娛樂蘋果派,0
蘋果日報 台灣,娛樂蘋果派,0
飲食男女 台灣,娛樂蘋果派,0
修杰楷,娛樂蘋果派,0
蘋果國際,娛樂蘋果派,0
蘋果日報即時新聞,娛樂蘋果派,0
蘋果動未條,娛樂蘋果派,0
蘋果陪審團,娛樂蘋果派,0
蘋果余艾苔,娛樂蘋果派,0
蘋果跑跳碰,娛樂蘋果派,0
科技蘋果派,娛樂蘋果派,0
蘋果地產王,娛樂蘋果派,0
蘋果搖錢樹,娛樂蘋果派,0
苗．春祭 Sprouts Art Festival,娛樂蘋果派,0
動新聞旁白哥好強大~報導,娛樂蘋果派,0
翻滾吧! 男人,娛樂蘋果派,0
侯彥西,娛樂蘋果派,0
舒子晨Nikita,娛樂蘋果派,0
黃豪平,娛樂蘋果派,0
張允曦小8,娛樂蘋果派,0
IT'S SAM 伊斯山造型,娛樂蘋果派,0
朱芯儀,娛樂蘋果派,0
Melody時尚媽咪,娛樂蘋果派,0
王子 邱勝翊,娛樂蘋果派,0
Lulu 黃路梓茵,娛樂蘋果派,0
明天記得愛上我 Will You Still Love Me Tomorrow?,娛樂蘋果派,0
CHOCOLABS 可口APP研究室,娛樂蘋果派,0
大元,娛樂蘋果派,0
Circus香港專屬後援會,娛樂蘋果派,0
Jerry Yan (言承旭),娛樂蘋果派,0
客房服務Room Service Taiwan,娛樂蘋果派,0
施文彬,娛樂蘋果派,0
尹莉(BoBo)官方粉絲團,娛樂蘋果派,0
安于晴Charlene,娛樂蘋果派,0
翁滋蔓 Smire Tzymann,娛樂蘋果派,0
張喬菲,娛樂蘋果派,0
簡亞當 Adam's talk,娛樂蘋果派,0
Coara黃安若,娛樂蘋果派,0
歐小憲,娛樂蘋果派,0
舞力全開,娛樂蘋果派,0
旅行應援團,娛樂蘋果派,0
張嘉雲 - 花花,娛樂蘋果派,0
我是救星｜You are the NEXT,娛樂蘋果派,0
寶靈魔法學院,娛樂蘋果派,0
劉方慈 Crystal Liu,娛樂蘋果派,0
宥是一個好聲音 林宥嘉後援會,娛樂蘋果派,0
甜心虎牙-陳伊,娛樂蘋果派,0
邱偲琹Ally,娛樂蘋果派,0
王晴 Serene,娛樂蘋果派,0
華視娛樂show,娛樂蘋果派,0
曾雅蘭,娛樂蘋果派,0
陳 薇,娛樂蘋果派,0
成語蕎 Jenny Cheng,娛樂蘋果派,0
何戎 Kelly 的幸福大平台,娛樂蘋果派,0
李詠嫻  Jackie Lee,娛樂蘋果派,0
完美先生"宥勝",娛樂蘋果派,0
阿布 & 米雪兒 幸福布二家,娛樂蘋果派,0
曾奕翔,娛樂蘋果派,0
韋佳宏 (野獸),娛樂蘋果派,0
御水 Hydro Mode 美顏體雕,娛樂蘋果派,0
群星瑞智 Star Ritz,娛樂蘋果派,0
大喇叭來了,娛樂蘋果派,0
百鴻娛樂,娛樂蘋果派,0
楊銘威,娛樂蘋果派,0
王建復 Jeff Wang - 瘋建幫,娛樂蘋果派,0
大久保麻梨子 Okubo Mariko,娛樂蘋果派,0
永遠的大玩偶~阿西陳博正,娛樂蘋果派,0
關韶文,娛樂蘋果派,0
左左右右Zony&Yony,娛樂蘋果派,0
必Po TV,娛樂蘋果派,0
紀艾希 Ring,娛樂蘋果派,0
管麟 Peter,娛樂蘋果派,0
八三夭阿電,娛樂蘋果派,0
全球大悶鍋,娛樂蘋果派,0
最完美的女孩,娛樂蘋果派,0
雙胞胎 依依佩佩  的 依依,娛樂蘋果派,0
健忘村 The Village of No Return,娛樂蘋果派,0
糖妹 Kandy,娛樂蘋果派,0
藍心湄 Hsin-Mei Lan,娛樂蘋果派,0
Phei Yong 培永,娛樂蘋果派,0
黃健瑋,娛樂蘋果派,0
楊謹華 Cheryl,娛樂蘋果派,0
Candy.mai 麥,娛樂蘋果派,0
HORIEN 5℃天然無氣泡蘇打水,娛樂蘋果派,0
周定緯 Judy Chou,娛樂蘋果派,0
Paul與咪咪的朱式會社,娛樂蘋果派,0
維娜-李萱verna,娛樂蘋果派,0
Innovate 專業頭皮養護,娛樂蘋果派,0
楊皓如,娛樂蘋果派,0
陳彥佐（小花）,娛樂蘋果派,0
Aimee Yun Yun Sun 孫芸芸,娛樂蘋果派,0
簡立喆主播,娛樂蘋果派,0
壹電視 Next TV新聞部,娛樂蘋果派,0
MOD粉絲團,娛樂蘋果派,0
Yilin愛戀瑜珈,娛樂蘋果派,0
仔仔周渝民,娛樂蘋果派,0
許仁杰國際論壇★熊熊專屬遊樂園,娛樂蘋果派,0
楊一展粉絲後援會 Weber Yang International Fans Club,娛樂蘋果派,0
LOLLIPOP_F歌迷會,娛樂蘋果派,0
苗可麗後援會,娛樂蘋果派,0
滾石唱片 - 馬來西亞 Rock Records Malaysia,娛樂蘋果派,0
惡男日記 Bad Boys’ Diary,娛樂蘋果派,0
我愛中港（竹南、頭份、後龍、造橋、三灣、南庄、峨眉、北埔）新竹州竹南郡 淡水廳中港堡,娛樂蘋果派,0
壹顆蘋果,娛樂蘋果派,0
『有酒窩的lulu貓 雜貨鋪 』串門文化,娛樂蘋果派,0
娛樂蘋果派,蘋果日報 台灣,0
吃喝玩樂看蘋果,蘋果日報 台灣,0
爽報,蘋果日報 台灣,0
旁白鴿,蘋果日報 台灣,0
飲食男女 台灣,蘋果日報 台灣,0
飲食男女,蘋果日報 台灣,0
銘報mol即時新聞,蘋果日報 台灣,0
蘋果地產月刊,蘋果日報 台灣,0
蘋果圖解新聞│蘋果360,蘋果日報 台灣,0
修杰楷,蘋果日報 台灣,0
